landfill_name,municipality,cadastral_parcel,latest_reporting_year,fencing,gate,guard,latitude,longitude
Stara Ciglana,Bela Crkva,"995,991/2,992/1,993,994/1 i 996",2024,da,da,da,44.904343,21.382778
Utrina,Kučevo,Br. 5891 KO Kučevo,2024,ne,ne,ne,44.4646783,21.679741
Nesanitarna gradska deponija (smetlište) Inđija,Inđija,"K.O. Inđija 4348, K.O. Inđija 4349, K.O. Inđija 4352, K.O. Inđija 4353/1,K.O. Inđija 4353/2",2024,ne,ne,ne,45.0888835,20.0496178
Bobovik,Vladimirci,"K.O.Bobovik 17,19,26,27 i K.O. Mehovine 855/4, 855/2 855/1, 856 K.O. Skupljen 1544",2024,ne,da,da,44.632601,19.789862
Lutvina česma,Aleksinac,"KO Aleksinac van varoš: 228/7, 242/4, 247, 248, 249, 250, 255/1, 257/1, 258, 259, 260, 261, 262 ? 263; ? 3269; KO Kraljevo: 3590, 3591 ? 3595.",2018,da,da,da,43.5672622,21.6806705
Lutvina česma,Aleksinac,"KO Aleksinac van varoš: 228/7, 242/4, 247, 248, 249, 250, 255/1, 257/1, 258, 259, 260, 261, 262, 263 i 3269; KO Kraljevo: 3590, 3591 i 3595.",2024,da,da,da,43.5672622,21.6806705
Nesanitarna deponija Vinča,Beograd-Palilula,"KO Grocka, KO Zvezdara, KO Palilula",2021,da,da,da,44.7862355,20.5955171
Gradska deponija ‚‚Bubanj'' - Niš,Niš - Palilula,KO Niš - Bubanj i  KO Pasi Poljana,2024,da,da,da,43.2884718,21.8854718
"Gradska deponija ""Bubanj"" Niš",Niš - Mediana,"KO Niš-Bubanj, KO Pasi Poljana",2024,da,da,da,43.2884718,21.8854718
Godominsko polje,Smederevo,"KO Smederevo:13312 (deo), 677/1 (deo), 7490/1, 7491, 7492/1, 7487/3, 7486 (deo), 7491, (deo), segmentu 2: 13312 (deo), 677/1 (deo), 7479 (deo), 7482 (deo), 7491 (deo) i 7486",2024,da,da,da,44.651648,20.951778
VIROVO,Arilje,KP Br.1KO Cerova,2018,da,da,da,43.46204,20.061617
Kondžilo,Žagubica,KP br. 495 KO Mali kamen,2024,ne,ne,ne,44.190703,21.800651
VIROVO,Arilje,KP broj 1 KO Cerova,2022,ne,ne,ne,43.46204,20.061617
Deponija u Bogdanovici,Ub,KP.br 524/1 i 525/1,2024,da,da,da,44.4752325,20.0887888
Smetlište Alibunar,Alibunar,delovi parcela top.broj 11219/8 i 11221/1 ko Alibunar,2023,ne,ne,ne,45.090889,20.979096
Smetlište Banatski Karlovac,Alibunar,deo 3011/1,2023,ne,ne,ne,45.060005,21.018658
Smetlište Vladimirovac,Alibunar,deo parcele top.broj 239 ko Vladimirovac,2023,ne,ne,ne,45.044369,20.860375
Badra,Svilajnac,k. p. br. 2100 KO Svilajnac,2024,ne,da,ne,44,21
Bubavica,Surdulica,kp br. 3. 4. 5. 6. KO Zagužanje,2024,da,da,da,42.714218,22.140422
Lakovski Bregovi,Kuršumlija,kp. br.951/1 KO Baćoglava Kuršumlija,2024,da,da,ne,43.126827,21.221966
Bakčine,Knić,kp.br. 1934/1 KO Knić  i kp.br. 1934/2 KO Knić,2024,da,da,ne,43.9368,20.7338
Deponija Jovanovac,Kragujevac - grad,kp.br. 5320 KO Kragujevac IV,2024,da,da,da,44.034167,20.931949
